adapter_revision,cell_seconds,checksum,estimator,fit_seconds,implementation,k,library_version,memory_cap_bytes,n,peak_rss_bytes,predicted_peak_bytes,python,returncode,seed,status,stderr_tail,timeout_seconds,timestamp_utc,wall_seconds
2,0.0025262499693781137,0.0,ABCOLS,0.000388041022233665,crabbymetrics,5,0.9.0,1421770752,1000,44580864,201646592,3.12.9,0,1729,ok,,10.0,2026-09-09T15:25:05.252791+00:00,0.12639758305158466
2,0.006524458061903715,0.0,ABCOLS,0.004226749995723367,crabbymetrics,5,0.9.0,1421770752,10000,13221888,204526592,3.12.9,0,1729,ok,,10.0,2026-09-09T15:25:05.380255+00:00,0.13357762491796166
2,0.053512750077061355,0.0,ABCOLS,0.04858220799360424,crabbymetrics,5,0.9.0,1421770752,100000,118177792,233326592,3.12.9,0,1729,ok,,10.0,2026-09-09T15:25:05.514664+00:00,0.13242754200473428
2,0.0037587920669466257,0.0,ABCOLS,0.0017611249350011349,crabbymetrics,20,0.9.0,1421770752,1000,13910016,202606592,3.12.9,0,1729,ok,,10.0,2026-09-09T15:25:05.648069+00:00,0.0671167909167707
2,0.020223167026415467,0.0,ABCOLS,0.017328209010884166,crabbymetrics,20,0.9.0,1421770752,10000,59686912,214126592,3.12.9,0,1729,ok,,10.0,2026-09-09T15:25:05.715824+00:00,0.13106395897921175
2,0.3193626670399681,0.0,ABCOLS,0.3085020000580698,crabbymetrics,20,0.9.0,1421770752,100000,202178560,329326592,3.12.9,0,1729,ok,,10.0,2026-09-09T15:25:05.847725+00:00,0.4403439169982448
2,0.0021610830444842577,0.0,OLS,0.00013116595800966024,crabbymetrics,5,0.9.0,1421770752,1000,43974656,201526592,3.12.9,0,1729,ok,,10.0,2026-09-09T15:25:06.288891+00:00,0.12123666703701019
2,0.00293366692494601,0.0,OLS,0.0006165000377222896,crabbymetrics,5,0.9.0,1421770752,10000,14778368,203326592,3.12.9,0,1729,ok,,10.0,2026-09-09T15:25:06.410796+00:00,0.12139900005422533
2,0.010151666938327253,0.0,OLS,0.005537791992537677,crabbymetrics,5,0.9.0,1421770752,100000,13942784,221326592,3.12.9,0,1729,ok,,10.0,2026-09-09T15:25:06.532903+00:00,0.13095745898317546
2,0.002312666969373822,0.0,OLS,0.00042875006329268217,crabbymetrics,20,0.9.0,1421770752,1000,15646720,202126592,3.12.9,0,1729,ok,,10.0,2026-09-09T15:25:06.664684+00:00,0.069029959035106
2,0.008526792051270604,0.0,OLS,0.005667375051416457,crabbymetrics,20,0.9.0,1421770752,10000,15450112,209326592,3.12.9,0,1729,ok,,10.0,2026-09-09T15:25:06.734472+00:00,0.1311272499151528
2,0.07763508299831301,0.0,OLS,0.0663409170228988,crabbymetrics,20,0.9.0,1421770752,100000,130088960,281326592,3.12.9,0,1729,ok,,10.0,2026-09-09T15:25:06.866480+00:00,0.18111775000579655
2,0.8599092910299078,1.357005364286148,OLS,0.019803083036094904,sklearn-linear-regression,5,1.9.0,1421770752,1000,166723584,201526592,3.12.9,0,1729,ok,,10.0,2026-09-09T15:25:07.048419+00:00,0.9794722920050845
2,0.6104173749918118,1.3425702218245303,OLS,0.004378666984848678,sklearn-linear-regression,5,1.9.0,1421770752,10000,166510592,203326592,3.12.9,0,1729,ok,,10.0,2026-09-09T15:25:08.028741+00:00,0.7688929170835763
2,0.6081252079457045,1.3424482809845315,OLS,0.008083832915872335,sklearn-linear-regression,5,1.9.0,1421770752,100000,170098688,221326592,3.12.9,0,1729,ok,,10.0,2026-09-09T15:25:08.798468+00:00,0.7789625830482692
2,0.601004125084728,2.8539363237043123,OLS,0.0041615000227466226,sklearn-linear-regression,20,1.9.0,1421770752,1000,166232064,202126592,3.12.9,0,1729,ok,,10.0,2026-09-09T15:25:09.578380+00:00,0.7785744169959798
2,0.605105541064404,2.630796381047978,OLS,0.005730500095523894,sklearn-linear-regression,20,1.9.0,1421770752,10000,171868160,209326592,3.12.9,0,1729,ok,,10.0,2026-09-09T15:25:10.357495+00:00,0.7727393329842016
